Unnamed: 0,datetime,precip_mm
1,01/01/2019,NA
2,01/02/2019,NA
3,01/03/2019,NA
4,01/04/2019,NA
5,01/05/2019,NA
6,01/06/2019,NA
7,01/07/2019,NA
8,01/08/2019,NA
9,01/09/2019,NA
10,01/10/2019,NA
11,01/11/2019,NA
12,01/12/2019,NA
13,01/13/2019,NA
14,01/14/2019,NA
15,01/15/2019,NA
16,01/16/2019,NA
17,01/17/2019,NA
18,01/18/2019,NA
19,01/19/2019,NA
20,01/20/2019,NA
21,01/21/2019,NA
22,01/22/2019,NA
23,01/23/2019,NA
24,01/24/2019,NA
25,01/25/2019,NA
26,01/26/2019,NA
27,01/27/2019,NA
28,01/28/2019,NA
29,01/29/2019,NA
30,01/30/2019,NA
31,01/31/2019,NA
32,02/01/2019,NA
33,02/02/2019,NA
34,02/03/2019,NA
35,02/04/2019,NA
36,02/05/2019,NA
37,02/06/2019,NA
38,02/07/2019,NA
39,02/08/2019,NA
40,02/09/2019,NA
41,02/10/2019,NA
42,02/11/2019,NA
43,02/12/2019,NA
44,02/13/2019,NA
45,02/14/2019,NA
46,02/15/2019,NA
47,02/16/2019,NA
48,02/17/2019,NA
49,02/18/2019,NA
50,02/19/2019,NA
51,02/20/2019,NA
52,02/21/2019,NA
53,02/22/2019,NA
54,02/23/2019,NA
55,02/24/2019,NA
56,02/25/2019,NA
57,02/26/2019,NA
58,02/27/2019,NA
59,02/28/2019,NA
60,03/01/2019,NA
61,03/02/2019,NA
62,03/03/2019,NA
63,03/04/2019,NA
64,03/05/2019,NA
65,03/06/2019,NA
66,03/07/2019,NA
67,03/08/2019,NA
68,03/09/2019,NA
69,03/10/2019,NA
70,03/11/2019,NA
71,03/12/2019,NA
72,03/13/2019,NA
73,03/14/2019,NA
74,03/15/2019,NA
75,03/16/2019,NA
76,03/17/2019,NA
77,03/18/2019,NA
78,03/19/2019,NA
79,03/20/2019,NA
80,03/21/2019,NA
81,03/22/2019,NA
82,03/23/2019,NA
83,03/24/2019,NA
84,03/25/2019,NA
85,03/26/2019,NA
86,03/27/2019,NA
87,03/28/2019,NA
88,03/29/2019,NA
89,03/30/2019,NA
90,03/31/2019,NA
91,04/01/2019,NA
92,04/02/2019,NA
93,04/03/2019,NA
94,04/04/2019,NA
95,04/05/2019,NA
